Species,DME,DAN,ANT,PAL,GIG,MYR,PLO,IRI,Total
Ampelisca_bouvieri_Chevreux,0,0,0,0,0.09,0,0,0,0.09
Gitanopsis_squamosa_(Thomson),1.5,1.5,0.3,0,3.1,0.1,2.0,0,8.5
Colomastix_sp._(fissilingua)_Schellenberg,1.3,0.06,0.06,0,0.2,0.1,0,0,1.7
Paradexamine_fissicauda_Chevreux,0.04,0.2,0.06,0,0.6,0.1,66.8,0.5,68.3
Eophliantidae,7.2,0.02,0.05,0,0.6,1.7,1.2,0,10.8
Atyloella_magellanica_(Stebbing),0.02,0.03,0,0,0,0,4.3,0,4.3
Atylopsis_sp._Stebbing,0.03,0,0,0,0,0,0,0,0.03
Bovallia_gigantea_Pfeffer,1.7,4.3,0,0,0.3,1,4.6,0,11.9
Djerboa_furcipes_Chevreux,0.1,0,0,0,0.8,0,0,0,0.9
Eurymera_monticulosa_Pfeffer,0.07,0,0,0,0.1,0.2,0,0,3.6
Metaleptamphopus_pectinatus_Chevreux,1736.4,14.7,18.3,5.8,1.5,0.5,72.5,4.4,1854
Oradarea_spp._Walker,174.3,41.8,1.6,2.3,19.7,4.8,47.9,0,292.6
Paramoera_sp._Miers,0,0,0,0,0.07,0,0,0,0.07
Pontogeneia_sp._Boeck,0.07,0,0,0,0.07,0,0,0,0.1
Prostebbingia_brevicornis_(Chevreux),0,0.06,0,0,0.09,0,0.2,0,0.3
Prostebbingia_gracilis_(Chevreux),41.4,5,0.4,0.7,2.5,0,28,0,77.9
Schraderia_dubia_Thurston,0.2,5.8,0.09,0,1.8,0.1,24.5,0.2,32.6
Schraderia_gracilis_Pfeffer,0.06,0.6,0,0,1.9,0,0.1,0,2.7
Schraderia_sp._Pfeffer,0,0.2,0,0,0.2,0,0.4,0,0.8
Gondogeneia_antarctica_(Chevreux),10.8,17.3,0.4,5.9,12.2,32.3,28.3,2.1,109.4
Gondogeneia_redfearni_(Thurston),0.5,15.3,0.3,1.8,0.1,0.3,4.9,0,23.3
Gnathiphimedia_barnardi_Thurston,0,0,0,0,0,0,0.3,0,0.3
Gnathiphimedia_fuchsi_Thurston,0.09,0.08,0,0,0,0.09,0,0,0.3
Pariphimedia_integricauda_Chevreux,0.1,1.3,0,0,0.4,1.7,1.4,0,4.9
Jassa_spp._Leach,5.7,87.3,0.9,5.4,85,55.5,202.2,2.9,445
Leucothoe_spinicarpa_(Abildgaard),0.01,0,0,0,0,0,0,0,0.01
Lysianassoidea,0.8,0.08,0,0.7,0,0,0,0,1.6
Allogaussia_sp._Schellenberg,0,0,0,0,0,0,1,0,1
Seba_sp._Bate,0,0.04,0,0,0,0,0,0,0.04
Probolisca_ovata_(Stebbing),20.3,15.7,1.5,3.3,16.7,7.4,99,0.4,164.2
Prothaumatelson_nasutum_(Chevreux),2.3,2.9,0.5,0.4,1.3,0.02,1.1,0,8.5
Thaumatelson_herdmani_Walker,0.09,0.4,0.04,0,0,0,0,0,0.5_
